"N","J","Distribution","Response","Alpha_Mean","Alpha_SD","Omega_Mean","Omega_SD"
10,3,"heavy","acquiescent",0.572375097661462,0.383381535793433,0.682704780777999,0.240323530416486
10,3,"normal","acquiescent",0.697389743527332,0.260512975249702,0.757954199785869,0.178426446282502
10,3,"skewed","acquiescent",0.664391513276048,0.206064480294533,0.743849223518831,0.163385274095985
10,10,"heavy","acquiescent",0.856315298084257,0.0997686946878689,NA,NA
10,10,"normal","acquiescent",0.878613851988996,0.0871214893390401,NA,NA
10,10,"skewed","acquiescent",0.870159707767557,0.0801546717867037,NA,NA
10,20,"heavy","acquiescent",0.903902732678299,0.084514737614046,NA,NA
10,20,"normal","acquiescent",0.944332214907907,0.0335665035796677,NA,NA
10,20,"skewed","acquiescent",0.907813884115949,0.0765951373360846,NA,NA
30,3,"heavy","acquiescent",0.683083852280738,0.183081535145647,0.720138237658545,0.132689184128998
30,3,"normal","acquiescent",0.724061209826084,0.118821351208773,0.751867274766493,0.0933201175165922
30,3,"skewed","acquiescent",0.706686774129697,0.129842944598021,0.738318648342871,0.101268606887089
30,10,"heavy","acquiescent",0.88777982671096,0.053728703467238,0.891619654246822,0.0524195648864108
30,10,"normal","acquiescent",0.907613970302645,0.0296213707792593,0.910573515672632,0.0290732350032699
30,10,"skewed","acquiescent",0.877272436470698,0.0819555548100106,0.878568768988238,0.0949632611746325
30,20,"heavy","acquiescent",0.935508253727691,0.0341876928693437,0.937453837334745,0.0333586436954917
30,20,"normal","acquiescent",0.951357108919557,0.0129706349943589,0.952923405195668,0.0125438149562718
30,20,"skewed","acquiescent",0.941611063033178,0.0236501879549649,0.94329109766032,0.0230944384421303
50,3,"heavy","acquiescent",0.709412609198537,0.098218583351269,0.72734870012145,0.0905289940830832
50,3,"normal","acquiescent",0.737459307108049,0.0647346406719996,0.751577602059385,0.0595185995363763
50,3,"skewed","acquiescent",0.740708401291521,0.0913134482598698,0.753071439702532,0.0825672093640144
50,10,"heavy","acquiescent",0.895504461127582,0.0481362653684573,0.898378873455395,0.0459852028147928
50,10,"normal","acquiescent",0.909210964784824,0.0226524991043579,0.911314198792117,0.0217388185381877
50,10,"skewed","acquiescent",0.899470757413807,0.0349928659488774,0.901769414736059,0.0337809759208865
50,20,"heavy","acquiescent",0.934081601323278,0.0210019902872318,0.935754867545572,0.0201593254848335
50,20,"normal","acquiescent",0.953098540262091,0.00972748485291438,0.954052392260681,0.00938346242911195
50,20,"skewed","acquiescent",0.951101278573742,0.014219144855052,0.952082398302839,0.0138355908212749
100,3,"heavy","acquiescent",0.715869045810546,0.0817505566951601,0.725778188380847,0.0765807963053673
100,3,"normal","acquiescent",0.755629902773151,0.043282481720077,0.761300672068224,0.0407192821068262
100,3,"skewed","acquiescent",0.744255519091648,0.0604756260158284,0.752217081415506,0.0587529184425056
100,10,"heavy","acquiescent",0.897128265391272,0.025214210543325,0.8987890976918,0.0246097881866439
100,10,"normal","acquiescent",0.90889522597091,0.0154443853230812,0.910299319369344,0.0150349835585168
100,10,"skewed","acquiescent",0.910441185966197,0.021128487571122,0.911668550003109,0.0205403976517926
100,20,"heavy","acquiescent",0.946228011972525,0.0159542788403255,0.947062321880837,0.0156108356245546
100,20,"normal","acquiescent",0.952948716026739,0.00848853998700517,0.953590971982659,0.00838283324169002
100,20,"skewed","acquiescent",0.953320320542409,0.0103229497502954,0.953961920303598,0.0100533729795945
200,3,"heavy","acquiescent",0.734543384412556,0.0705490711888707,0.738702235038035,0.0693912797455379
200,3,"normal","acquiescent",0.753301372012752,0.0442253574303253,0.757765105338698,0.042557124621711
200,3,"skewed","acquiescent",0.744983349108617,0.0543428138431985,0.749300345611367,0.0525939746809816
200,10,"heavy","acquiescent",0.900196381871684,0.0273398249370768,0.901293275513908,0.0268871819678673
200,10,"normal","acquiescent",0.905914029266321,0.0167457049974056,0.906899516691697,0.0163941027336763
200,10,"skewed","acquiescent",0.906963706897147,0.0133470896857172,0.908094720737174,0.0131301260206182
200,20,"heavy","acquiescent",0.947059828496792,0.0107404266274732,0.947625467377299,0.0105216204422944
200,20,"normal","acquiescent",0.953088586286948,0.00441319727101738,0.953550528586061,0.00432496824186607
200,20,"skewed","acquiescent",0.953586306790343,0.00702700281965714,0.954058996389762,0.00691044074577249
300,3,"heavy","acquiescent",0.735509180640803,0.0530936355887163,0.738389945584254,0.0525213044985585
300,3,"normal","acquiescent",0.753708609318667,0.038588624083919,0.756992675078775,0.0385051121274897
300,3,"skewed","acquiescent",0.754504870001144,0.0357533003024254,0.757596187683868,0.0349804372245544
300,10,"heavy","acquiescent",0.901059971144266,0.0207745459784802,0.9020732181839,0.0204166286208388
300,10,"normal","acquiescent",0.909558448590037,0.0114833199572299,0.910385665082609,0.0113794292351445
300,10,"skewed","acquiescent",0.911126527976956,0.0135486363965706,0.911918145920703,0.0133582975731937
300,20,"heavy","acquiescent",0.945490289384275,0.00969955093968307,0.946075225539883,0.00942531496482579
300,20,"normal","acquiescent",0.95417436229705,0.00490991506937197,0.954573553469527,0.0048259672168068
300,20,"skewed","acquiescent",0.952968561881378,0.00650250714107481,0.953361427406062,0.00642338263728839
400,3,"heavy","acquiescent",0.745471699203738,0.0637867425081702,0.74823706603612,0.063134450470249
400,3,"normal","acquiescent",0.747729867461836,0.0348969125155477,0.750736479320835,0.0341592990301738
400,3,"skewed","acquiescent",0.758802042440024,0.0460966581363991,0.761523548222498,0.0454064762637297
400,10,"heavy","acquiescent",0.902507333435218,0.0192204200913116,0.903381051672907,0.0189469491474312
400,10,"normal","acquiescent",0.911230824181185,0.0108772329199478,0.912020799677809,0.0107231061872354
400,10,"skewed","acquiescent",0.909402909591129,0.0139091893927977,0.910107436439954,0.0138582563217711
