"N","J","Distribution","Response","Alpha.mean","Alpha.sd","Omega.mean","Omega.sd"
  10, 3,"heavy","acquiescent",0.572375098,0.383381536,0.682704781,0.240323530
  30, 3,"heavy","acquiescent",0.683083852,0.183081535,0.720138238,0.132689184
  50, 3,"heavy","acquiescent",0.709412609,0.098218583,0.727348700,0.090528994
 100, 3,"heavy","acquiescent",0.715869046,0.081750557,0.725778188,0.076580796
 200, 3,"heavy","acquiescent",0.734543384,0.070549071,0.738702235,0.069391280
 300, 3,"heavy","acquiescent",0.735509181,0.053093636,0.738389946,0.052521304
 400, 3,"heavy","acquiescent",0.745471699,0.063786743,0.748237066,0.063134450
 500, 3,"heavy","acquiescent",0.723495199,0.050477932,0.725577980,0.049793083
 800, 3,"heavy","acquiescent",0.746341353,0.044526226,0.748583433,0.043866293
1000, 3,"heavy","acquiescent",0.755670874,0.067400567,0.757975344,0.066822133
2000, 3,"heavy","acquiescent",0.748081872,0.041548921,0.749914664,0.041522687
3000, 3,"heavy","acquiescent",0.748864389,0.038345359,0.750799532,0.038294646
4000, 3,"heavy","acquiescent",0.748016343,0.037412527,0.749699492,0.037438030
5000, 3,"heavy","acquiescent",0.761277971,0.045004857,0.762859830,0.044653303
  30,10,"heavy","acquiescent",0.887779827,0.053728703,0.891619654,0.052419565
  50,10,"heavy","acquiescent",0.895504461,0.048136265,0.898378873,0.045985203
 100,10,"heavy","acquiescent",0.897128265,0.025214211,0.898789098,0.024609788
 200,10,"heavy","acquiescent",0.900196382,0.027339825,0.901293276,0.026887182
 300,10,"heavy","acquiescent",0.901059971,0.020774546,0.902073218,0.020416629
 400,10,"heavy","acquiescent",0.902507333,0.019220420,0.903381052,0.018946949
 500,10,"heavy","acquiescent",0.904573631,0.019064507,0.905418781,0.018813266
 800,10,"heavy","acquiescent",0.907360461,0.022956399,0.908159354,0.022631824
1000,10,"heavy","acquiescent",0.905074588,0.012807674,0.905749176,0.012642526
2000,10,"heavy","acquiescent",0.908246765,0.011033972,0.908902221,0.010886017
3000,10,"heavy","acquiescent",0.908733452,0.017834383,0.909326159,0.017696676
4000,10,"heavy","acquiescent",0.912007200,0.015491381,0.912594414,0.015312561
5000,10,"heavy","acquiescent",0.910926402,0.010193027,0.911526914,0.010080376
  30,20,"heavy","acquiescent",0.935508254,0.034187693,0.937453837,0.033358644
  50,20,"heavy","acquiescent",0.934081601,0.021001990,0.935754868,0.020159325
 100,20,"heavy","acquiescent",0.946228012,0.015954279,0.947062322,0.015610836
 200,20,"heavy","acquiescent",0.947059828,0.010740427,0.947625467,0.010521620
 300,20,"heavy","acquiescent",0.945490289,0.009699551,0.946075226,0.009425315
 400,20,"heavy","acquiescent",0.948969771,0.011786267,0.949418873,0.011603132
 500,20,"heavy","acquiescent",0.948402938,0.009110418,0.948843811,0.008947636
 800,20,"heavy","acquiescent",0.951244967,0.007527431,0.951632849,0.007407954
1000,20,"heavy","acquiescent",0.950537242,0.007071658,0.950922663,0.006947205
2000,20,"heavy","acquiescent",0.952675608,0.006188059,0.953021178,0.006099668
3000,20,"heavy","acquiescent",0.953167121,0.005720410,0.953491623,0.005628682
4000,20,"heavy","acquiescent",0.952197327,0.005910758,0.952524527,0.005841124
5000,20,"heavy","acquiescent",0.953758939,0.006973680,0.954051730,0.006879645
  10, 3,"normal","acquiescent",0.697389744,0.260512975,0.757954200,0.178426446
  30, 3,"normal","acquiescent",0.724061210,0.118821351,0.751867275,0.093320118
  50, 3,"normal","acquiescent",0.737459307,0.064734641,0.751577602,0.059518600
 100, 3,"normal","acquiescent",0.755629903,0.043282482,0.761300672,0.040719282
 200, 3,"normal","acquiescent",0.753301372,0.044225357,0.757765105,0.042557125
 300, 3,"normal","acquiescent",0.753708609,0.038588624,0.756992675,0.038505112
 400, 3,"normal","acquiescent",0.747729867,0.034896913,0.750736479,0.034159299
 500, 3,"normal","acquiescent",0.752999445,0.034831414,0.754854135,0.035033629
 800, 3,"normal","acquiescent",0.748664459,0.042935301,0.750236077,0.042950654
1000, 3,"normal","acquiescent",0.755676253,0.030383154,0.757663524,0.030284849
2000, 3,"normal","acquiescent",0.760154247,0.032138112,0.761750355,0.032073588
3000, 3,"normal","acquiescent",0.763600596,0.032907545,0.765148756,0.032635865
4000, 3,"normal","acquiescent",0.760187078,0.034296833,0.761739013,0.034062592
5000, 3,"normal","acquiescent",0.753573380,0.037324458,0.755495026,0.036856903
  30,10,"normal","acquiescent",0.907613970,0.029621371,0.910573516,0.029073235
  50,10,"normal","acquiescent",0.909210965,0.022652499,0.911314199,0.021738819
 100,10,"normal","acquiescent",0.908895226,0.015444385,0.910299319,0.015034984
 200,10,"normal","acquiescent",0.905914029,0.016745705,0.906899517,0.016394103
 300,10,"normal","acquiescent",0.909558449,0.011483320,0.910385665,0.011379429
 400,10,"normal","acquiescent",0.911230824,0.010877233,0.912020800,0.010723106
 500,10,"normal","acquiescent",0.910212319,0.010148805,0.910907859,0.010173021
 800,10,"normal","acquiescent",0.911633449,0.009508018,0.912338239,0.009398357
1000,10,"normal","acquiescent",0.910714070,0.009700024,0.911355246,0.009695028
2000,10,"normal","acquiescent",0.911619168,0.008546022,0.912207700,0.008512178
3000,10,"normal","acquiescent",0.912955034,0.009537493,0.913535862,0.009545450
4000,10,"normal","acquiescent",0.914032911,0.008814920,0.914549671,0.008775104
5000,10,"normal","acquiescent",0.912383854,0.008572358,0.912949319,0.008572191
  30,20,"normal","acquiescent",0.951357109,0.012970635,0.952923405,0.012543815
  50,20,"normal","acquiescent",0.953098540,0.009727485,0.954052392,0.009383462
 100,20,"normal","acquiescent",0.952948716,0.008488540,0.953590972,0.008382833
 200,20,"normal","acquiescent",0.953088586,0.004413197,0.953550529,0.004324968
 300,20,"normal","acquiescent",0.954174362,0.004909915,0.954573553,0.004825967
 400,20,"normal","acquiescent",0.954253441,0.004916294,0.954596619,0.004851662
 500,20,"normal","acquiescent",0.954251935,0.004916966,0.954588344,0.004870996
 800,20,"normal","acquiescent",0.953769132,0.004880321,0.954097441,0.004849625
1000,20,"normal","acquiescent",0.954106858,0.003432452,0.954395479,0.003404824
2000,20,"normal","acquiescent",0.953779278,0.003394385,0.954085786,0.003352230
3000,20,"normal","acquiescent",0.952895306,0.003751240,0.953200839,0.003747131
4000,20,"normal","acquiescent",0.953768234,0.003154772,0.954051785,0.003132019
5000,20,"normal","acquiescent",0.952952908,0.002618820,0.953248390,0.002608600
  10, 3,"skewed","acquiescent",0.664391513,0.206064480,0.743849224,0.163385274
  30, 3,"skewed","acquiescent",0.706686774,0.129842945,0.738318648,0.101268607
  50, 3,"skewed","acquiescent",0.740708401,0.091313448,0.753071440,0.082567209
 100, 3,"skewed","acquiescent",0.744255519,0.060475626,0.752217081,0.058752918
 200, 3,"skewed","acquiescent",0.744983349,0.054342814,0.749300346,0.052593975
 300, 3,"skewed","acquiescent",0.754504870,0.035753300,0.757596188,0.034980437
 400, 3,"skewed","acquiescent",0.758802042,0.046096658,0.761523548,0.045406476
 500, 3,"skewed","acquiescent",0.760404017,0.036663067,0.763027133,0.036620922
 800, 3,"skewed","acquiescent",0.750574762,0.037742074,0.752802436,0.037705662
1000, 3,"skewed","acquiescent",0.749089543,0.039087578,0.751387069,0.038503527
2000, 3,"skewed","acquiescent",0.751636321,0.032696678,0.753530653,0.032547772
3000, 3,"skewed","acquiescent",0.755455399,0.037060454,0.756872188,0.037042564
4000, 3,"skewed","acquiescent",0.754676308,0.033845522,0.756129051,0.033897871
5000, 3,"skewed","acquiescent",0.750490841,0.033007264,0.752198936,0.033127597
  30,10,"skewed","acquiescent",0.877272436,0.081955555,0.878568769,0.094963261
  50,10,"skewed","acquiescent",0.899470757,0.034992866,0.901769415,0.033780976
 100,10,"skewed","acquiescent",0.910441186,0.021128488,0.911668550,0.020540398
 200,10,"skewed","acquiescent",0.906963707,0.013347090,0.908094721,0.013130126
 300,10,"skewed","acquiescent",0.911126528,0.013548636,0.911918146,0.013358298
 400,10,"skewed","acquiescent",0.909402910,0.013909189,0.910107436,0.013858256
