"N","J","Distribution","Response","Replication","Alpha","Omega"
10,3,"normal","consistent",1,0.732839336101262,0.834045613860269
10,3,"normal","consistent",2,0.597946024791487,0.685644552965245
10,3,"normal","consistent",3,0.767501531775435,0.814901925498397
10,3,"normal","consistent",4,0.837171592866212,0.857452421163371
10,3,"normal","consistent",5,0.788937202315997,0.848198189125341
10,3,"normal","consistent",6,0.889363751868359,0.911940159013257
10,3,"normal","consistent",7,0.656053218642867,0.710481480217317
10,3,"normal","consistent",8,0.532975482069829,0.628014002046946
10,3,"normal","consistent",9,0.749159703171919,0.817655367956556
10,3,"normal","consistent",10,0.889218513800099,0.903817142536362
10,3,"normal","consistent",11,0.628057624618973,0.711311369387132
10,3,"normal","consistent",12,0.36107932987542,0.59675440867642
10,3,"normal","consistent",13,0.751015111563867,0.801012938633958
10,3,"normal","consistent",14,0.699818944558233,0.754484486506044
10,3,"normal","consistent",15,0.860592793435927,0.887460987596666
10,3,"normal","consistent",16,0.659998254798968,0.704206294629725
10,3,"normal","consistent",17,0.124757626621625,0.357452884803244
10,3,"normal","consistent",18,0.580260248623523,0.755081070754706
10,3,"normal","consistent",19,0.502874079299721,0.674849394477812
10,3,"normal","consistent",20,0.759256115030091,0.796076676420667
10,3,"normal","consistent",21,0.526114644899259,0.71552346441352
10,3,"normal","consistent",22,0.798209419776129,0.873307534760755
10,3,"normal","consistent",23,0.941321161659502,0.955361695401947
10,3,"normal","consistent",24,0.674142879913291,0.77090641125991
10,3,"normal","consistent",25,0.83624738986335,0.862401227038977
10,3,"normal","consistent",26,0.781280258165371,0.841612789667649
10,3,"normal","consistent",27,0.872432996810034,0.886065532984574
10,3,"normal","consistent",28,0.79143531754759,0.809678163816843
10,3,"normal","consistent",29,0.615498212675272,0.720010070498591
10,3,"normal","consistent",30,0.16482284322361,0.218896969875277
10,3,"normal","consistent",31,0.639804213126801,0.719003279842575
10,3,"normal","consistent",32,0.726386673632616,0.789909955512837
10,3,"normal","consistent",33,0.869032121432523,0.877417634564086
10,3,"normal","consistent",34,0.890934968339973,0.903749956193187
10,3,"normal","consistent",35,0.628462039051476,0.740537453076921
10,3,"normal","consistent",36,0.745465391353987,0.819764307679201
10,3,"normal","consistent",37,0.54169495869947,0.701143638388158
10,3,"normal","consistent",38,0.928155278994977,0.941320236461644
10,3,"normal","consistent",39,0.804985943455006,0.826729665762561
10,3,"normal","consistent",40,0.806927826398995,0.847150465087655
10,3,"normal","consistent",41,0.436510414459239,0.595699877129797
10,3,"normal","consistent",42,0.683112278076581,0.74986459017729
10,3,"normal","consistent",43,0.771334267233458,0.790811366324468
10,3,"normal","consistent",44,0.698505136948059,0.769323979303617
10,3,"normal","consistent",45,0.495004339260873,0.684238066472656
10,3,"normal","consistent",46,0.712831025968615,0.791879149233986
10,3,"normal","consistent",47,0.845241255728173,0.870148566346027
10,3,"normal","consistent",48,0.882685101118911,0.894234349825894
10,3,"normal","consistent",49,0.668949065903237,0.692718101803077
10,3,"normal","consistent",50,0.690631253698136,0.747326110732413
10,3,"normal","acquiescent",1,0.816317539300455,0.854247856072264
10,3,"normal","acquiescent",2,0.730262988900829,0.767058406979431
10,3,"normal","acquiescent",3,0.500665996414948,0.614028797307727
10,3,"normal","acquiescent",4,0.667560980100739,0.740197254658885
10,3,"normal","acquiescent",5,0.874168770078145,0.906547122933027
10,3,"normal","acquiescent",6,0.841834279991455,0.864139862095898
10,3,"normal","acquiescent",7,0.592074459558592,0.701901931833594
10,3,"normal","acquiescent",8,0.692264182465138,0.733752943988677
10,3,"normal","acquiescent",9,0.206124946358158,0.38044918676706
10,3,"normal","acquiescent",10,0.811089687046128,0.880099320895587
10,3,"normal","acquiescent",11,0.836033353247123,0.876722048564447
10,3,"normal","acquiescent",12,0.733636962649648,0.788069264567927
10,3,"normal","acquiescent",13,0.389015544774546,0.399611522632745
10,3,"normal","acquiescent",14,0.743057104479637,0.811646987106967
10,3,"normal","acquiescent",15,0.860798888104934,0.884660392888765
10,3,"normal","acquiescent",16,0.761189077822367,0.780770506850345
10,3,"normal","acquiescent",17,0.860932137576544,0.867460970682833
10,3,"normal","acquiescent",18,0.919252298793034,0.937411518766145
10,3,"normal","acquiescent",19,0.362928876683515,0.438886944419322
10,3,"normal","acquiescent",20,0.915037055535454,0.92787851148066
10,3,"normal","acquiescent",21,0.760451158976822,0.789949288763823
10,3,"normal","acquiescent",22,0.696480003075997,0.760360412748908
10,3,"normal","acquiescent",23,0.742004437867202,0.810056202881085
10,3,"normal","acquiescent",24,0.870013242553865,0.896290051287085
10,3,"normal","acquiescent",25,-0.719536156172946,0.00552156378614197
10,3,"normal","acquiescent",26,0.605698262894964,0.632196834586325
10,3,"normal","acquiescent",27,0.463991501240461,0.499331562715306
10,3,"normal","acquiescent",28,0.892299565193972,0.896130428984797
10,3,"normal","acquiescent",29,0.821172667715149,0.852924991341535
10,3,"normal","acquiescent",30,0.889769108157442,0.893351849910499
10,3,"normal","acquiescent",31,0.670052020141682,0.756618158661301
10,3,"normal","acquiescent",32,0.546621423991105,0.591868911133151
10,3,"normal","acquiescent",33,0.850183220923742,0.901186627309757
10,3,"normal","acquiescent",34,0.696402961101507,0.794780319830881
10,3,"normal","acquiescent",35,0.575284157696076,0.644926885870216
10,3,"normal","acquiescent",36,0.796549577759725,0.827671101022267
10,3,"normal","acquiescent",37,0.684915492143535,0.751606555379591
10,3,"normal","acquiescent",38,0.877534195264544,0.904195341034076
10,3,"normal","acquiescent",39,0.846775997600901,0.865695401811636
10,3,"normal","acquiescent",40,0.347427426605752,0.442004853578286
10,3,"normal","acquiescent",41,0.747155400615031,0.765854194098593
10,3,"normal","acquiescent",42,0.859384367734437,0.893028750753076
10,3,"normal","acquiescent",43,0.67788474629394,0.722142943166506
10,3,"normal","acquiescent",44,0.812539117106729,0.85153342480338
10,3,"normal","acquiescent",45,0.730037758890982,0.765669478410212
10,3,"normal","acquiescent",46,0.737731274402882,0.760127475876521
10,3,"normal","acquiescent",47,0.855927770280531,0.882154245264191
10,3,"normal","acquiescent",48,0.873295338882014,0.887725907755749
10,3,"normal","acquiescent",49,0.848148499284821,0.880689380878806
10,3,"normal","acquiescent",50,0.699047508262332,0.816575494157464
10,3,"normal","extreme",1,0.681421287432541,0.769656058704332
10,3,"normal","extreme",2,0.595557144624061,0.685562584801768
10,3,"normal","extreme",3,0.433416832045626,0.494942064760631
10,3,"normal","extreme",4,0.588893060133374,0.739759061719979
10,3,"normal","extreme",5,0.619987648431045,0.706134010664486
10,3,"normal","extreme",6,0.474196341252113,0.628630603165806
10,3,"normal","extreme",7,0.60643853515426,0.755717116443356
10,3,"normal","extreme",8,0.896426810997008,0.909951832640345
10,3,"normal","extreme",9,0.827402558700682,0.903847649329451
10,3,"normal","extreme",10,0.74130280759955,0.78699212064014
10,3,"normal","extreme",11,0.463843105510867,0.522692831961503
10,3,"normal","extreme",12,0.674814298389356,0.741657085091926
10,3,"normal","extreme",13,0.871547379801034,0.892172321851227
10,3,"normal","extreme",14,0.736785336398717,0.847999990507731
10,3,"normal","extreme",15,0.597083347074221,0.757644307772851
10,3,"normal","extreme",16,0.720016310764614,0.740529737841318
10,3,"normal","extreme",17,0.836869612497993,0.881484431779589
10,3,"normal","extreme",18,0.720589107972436,0.821556632890406
10,3,"normal","extreme",19,0.908029730082612,0.916231110684911
10,3,"normal","extreme",20,0.655159760598066,0.745931018197207
10,3,"normal","extreme",21,0.736286054969574,0.795267662081647
10,3,"normal","extreme",22,0.773212558210599,0.801494077704139
10,3,"normal","extreme",23,0.905630902988369,0.912695169263196
10,3,"normal","extreme",24,0.34695091432033,0.557859896536528
10,3,"normal","extreme",25,-0.523840791895541,0.0277005587112196
10,3,"normal","extreme",26,0.628947493638178,0.658024320956461
10,3,"normal","extreme",27,0.882563530691245,0.904877836835554
10,3,"normal","extreme",28,0.653415533328851,0.705246027433359
10,3,"normal","extreme",29,0.771089826302414,0.803431282849909
10,3,"normal","extreme",30,0.577439701137365,0.637464456869264
10,3,"normal","extreme",31,0.5800172803022,0.732834190194986
10,3,"normal","extreme",32,0.676739758494842,0.730288122117379
10,3,"normal","extreme",33,0.709188780986085,0.730434524637028
10,3,"normal","extreme",34,0.816187543148665,0.818901942294014
10,3,"normal","extreme",35,0.510110185626135,0.637996434866078
10,3,"normal","extreme",36,0.552881094888358,0.610169962947839
10,3,"normal","extreme",37,0.896824720565132,0.905223117786157
10,3,"normal","extreme",38,0.769321895434632,0.790670755020924
10,3,"normal","extreme",39,0.642304141268211,0.736621141546941
10,3,"normal","extreme",40,0.817235031003179,0.850642745171671
10,3,"normal","extreme",41,0.800947913772795,0.8524482745398
10,3,"normal","extreme",42,0.653256236685323,0.717247176731614
10,3,"normal","extreme",43,0.695457943821876,0.767365017000116
10,3,"normal","extreme",44,0.9255460399051,0.938617763068419
10,3,"normal","extreme",45,0.819644659693042,0.846480111314555
10,3,"normal","extreme",46,0.820985395707562,0.862689560675218
10,3,"normal","extreme",47,0.429777196443654,0.706365073961724
10,3,"normal","extreme",48,0.609345586684128,0.702591088352514
10,3,"normal","extreme",49,0.673394127845174,0.747689732893095
10,3,"normal","extreme",50,0.516621590289005,0.564754319858177
10,3,"normal","inconsistent",1,-0.341482979338029,0.016049654022946
10,3,"normal","inconsistent",2,0.0747948287446753,0.621267608820402
10,3,"normal","inconsistent",3,0.426090724794436,0.597177893569082
10,3,"normal","inconsistent",4,0.611807220429178,0.693561905610425
10,3,"normal","inconsistent",5,0.600338414414007,0.734645194208723
10,3,"normal","inconsistent",6,0.745323335227456,0.784739850974187
10,3,"normal","inconsistent",7,0.489781289296964,0.498728869146924
10,3,"normal","inconsistent",8,0.534664738540265,0.726732522972418
10,3,"normal","inconsistent",9,0.747140934276743,0.803712820088967
10,3,"normal","inconsistent",10,0.607797727505145,0.686199422820294
10,3,"normal","inconsistent",11,0.800570761924994,0.821780151798999
10,3,"normal","inconsistent",12,0.610698107986169,0.716658419896295
10,3,"normal","inconsistent",13,0.503309880248325,0.649651366922985
10,3,"normal","inconsistent",14,0.190737314324101,0.477475241372893
10,3,"normal","inconsistent",15,0.602987193036904,0.656684695187424
10,3,"normal","inconsistent",16,0.552346134961098,0.644288998125267
10,3,"normal","inconsistent",17,0.24327938629293,0.469732993891973
10,3,"normal","inconsistent",18,0.648146913595812,0.736001613346168
10,3,"normal","inconsistent",19,0.103496810624251,0.358695927965904
10,3,"normal","inconsistent",20,0.499623205546081,0.556277115253591
10,3,"normal","inconsistent",21,0.188146658224868,0.495887192145804
10,3,"normal","inconsistent",22,-0.632824557870994,0.148767101970716
10,3,"normal","inconsistent",23,0.462820446816313,0.68293676919564
10,3,"normal","inconsistent",24,0.149660840627514,0.523581482576674
10,3,"normal","inconsistent",25,0.368764387005885,0.514190433925691
